DISTANCE,ELEVATION,ELEV_DEM,ID,LATITUDE,LONGITUDE,MNET_ID,NAME,RESTRICTED,STATE,STATUS,STID,TIMEZONE,ACCUM_226_DAYS,EPOCH_TIMEDELTA,COUNT
8.02,4337,4340.6,161,40.18376,-112.9217,1,Michael Army Airfield - Dugway Proving Ground,False,UT,ACTIVE,KDPG,America/Denver,0.41,19436640,1268
8.02,4345,4340.6,448,40.1838,-112.92166,3,DITTO,False,UT,ACTIVE,DPG01,America/Denver,4.25,19613100,62842
13.23,4349,4370.1,451,40.04602,-113.0455,3,TARGET S,False,UT,ACTIVE,DPG04,America/Denver,0.0,19613100,59879
5.7,4363,4366.8,452,40.156940000000006,-112.89368,3,WHITE SAGE,False,UT,ACTIVE,DPG05,America/Denver,5.96,19613100,62482
7.77,5077,5223.1,453,40.11945,-112.95425,3,CAMEL BACK MTN,False,UT,ACTIVE,DPG06,America/Denver,4.49,19613100,62862
9.39,4788,4891.7,454,40.2269,-112.72527,3,ENGLISH VILLAGE,False,UT,ACTIVE,DPG07,America/Denver,4.46,19613100,62769
12.42,4294,4320.9,457,40.18169,-113.02175,3,BAKER LAB,False,UT,ACTIVE,DPG10,America/Denver,3.92,19613100,62819
9.11,4346,4376.6,458,40.10345,-112.98038999999999,3,TOWER GRID,False,UT,ACTIVE,DPG11,America/Denver,2.49,19613100,62586
0.0,4538,4534.1,460,40.1067,-112.80815,3,DURAND ROAD,False,UT,ACTIVE,DPG13,America/Denver,0.0,19613100,62747
13.51,4650,4806.4,2883,40.300722,-112.77677800000001,2,CEDAR MOUNTAIN,False,UT,ACTIVE,CDMU1,America/Denver,5.16,19612800,5445
10.63,4380,4347.1,6460,40.20812,-112.95962,3,NW DECON PAD,False,UT,ACTIVE,DPG22,America/Denver,4.57,19613100,62851
14.97,4495,4455.4,6461,40.27838,-112.98108,3,LOWER CEDAR MTN,False,UT,ACTIVE,DPG23,America/Denver,1.13,19608300,33454
11.92,4313,4324.1,28383,40.16591,-113.02006999999999,29,DUGWAY,False,UT,ACTIVE,DGYU1,America/Denver,4.29,19526400,222
5.88,4385,4370.1,48434,40.163722,-112.89088899999999,2,DUGWAY-S,False,UT,ACTIVE,TT391,America/Denver,4.71,19612800,5446
